epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8868,2.54955,3.8975,1.72383,0.00069,0.01136,0.00058,0.00017,2.12116,3.79892,1.49055,0.00018337,0.00018337,0.00018337
2,37.4852,2.2468,3.10183,1.46978,0.01451,0.21515,0.11443,0.06009,1.8548,3.51462,1.32393,0.000379959,0.000379959,0.000379959
3,87.9886,2.20485,2.42037,1.38716,0.03946,0.56818,0.29208,0.13481,1.90016,3.11819,1.35567,0.000572948,0.000572948,0.000572948
4,100.756,2.128,2.01397,1.36407,0.03771,0.54394,0.30471,0.1335,1.90331,2.98837,1.38104,0.000762336,0.000762336,0.000762336
5,113.86,2.07025,1.87354,1.30987,0.80487,0.13655,0.28536,0.12391,1.98066,2.90231,1.42511,0.000948123,0.000948123,0.000948123
6,126.96,2.00825,1.72639,1.31358,0.66317,0.24089,0.35086,0.14955,1.98478,2.64513,1.41067,0.00113031,0.00113031,0.00113031
7,140.385,2.07813,1.75767,1.33907,0.66463,0.31935,0.34894,0.14214,2.12909,2.60846,1.50335,0.0013089,0.0013089,0.0013089
8,157.242,2.00831,1.70285,1.31901,0.73002,0.29697,0.33984,0.13767,2.17581,2.77636,1.543,0.00148388,0.00148388,0.00148388
9,211.468,1.99389,1.62473,1.3072,0.7085,0.40491,0.48062,0.2239,1.89821,2.118,1.37572,0.00154698,0.00154698,0.00154698
10,225.695,1.89768,1.6595,1.29065,0.77195,0.42918,0.53278,0.2528,1.83024,2.08024,1.34725,0.00153197,0.00153197,0.00153197
11,258.096,1.93507,1.6145,1.33378,0.80111,0.59641,0.69508,0.35957,1.75562,1.53326,1.29592,0.00151697,0.00151697,0.00151697
12,284.615,1.874,1.50561,1.30632,0.70223,0.63409,0.69676,0.32244,1.8489,1.57692,1.32475,0.00150197,0.00150197,0.00150197
13,326.621,1.84525,1.4481,1.24002,0.7881,0.67652,0.73169,0.37111,1.72721,1.39108,1.27828,0.00148696,0.00148696,0.00148696
14,339.064,1.83092,1.46997,1.25193,0.81018,0.68993,0.73578,0.38251,1.6863,1.2739,1.26707,0.00147196,0.00147196,0.00147196
15,351.99,1.8899,1.4233,1.22162,0.71564,0.71643,0.77265,0.36852,1.75022,1.3088,1.24181,0.00145696,0.00145696,0.00145696
16,365.432,1.81617,1.39116,1.24061,0.84064,0.66817,0.78612,0.3696,1.77848,1.3102,1.24666,0.00144195,0.00144195,0.00144195
17,404.949,1.91549,1.41171,1.24067,0.84637,0.71086,0.80749,0.37911,1.79129,1.25773,1.2878,0.00142695,0.00142695,0.00142695
18,459.105,1.87538,1.33791,1.23602,0.88388,0.64945,0.75843,0.36449,1.72961,1.27122,1.26162,0.00141195,0.00141195,0.00141195
19,514.995,1.83616,1.52282,1.30202,0.84506,0.68271,0.73442,0.34299,1.85016,1.303,1.32167,0.00139695,0.00139695,0.00139695
20,571.244,1.79987,1.40787,1.21963,0.84469,0.63376,0.75545,0.355,1.80706,1.34968,1.29643,0.00138194,0.00138194,0.00138194
21,596.993,1.85677,1.38672,1.22313,0.82328,0.6,0.73878,0.36508,1.81932,1.38459,1.27119,0.00136694,0.00136694,0.00136694
