epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2689,2.32856,1.93694,1.5396,0.81546,0.66136,0.76915,0.39025,1.68951,1.26498,1.24184,0.00018337,0.00018337,0.00018337
2,32.8618,2.21477,1.75849,1.47085,0.68984,0.68359,0.73808,0.36859,1.68406,1.55767,1.24089,0.000379959,0.000379959,0.000379959
3,48.6442,2.18794,1.79989,1.45883,0.76876,0.76672,0.80231,0.41296,1.68398,1.4536,1.22896,0.000572948,0.000572948,0.000572948
4,78.9784,2.16108,1.72361,1.46238,0.86459,0.72086,0.79535,0.39997,1.72407,1.25028,1.23293,0.000762336,0.000762336,0.000762336
5,129.321,2.28837,1.82233,1.46615,0.80842,0.65682,0.73743,0.36677,1.68922,1.27647,1.24131,0.000948123,0.000948123,0.000948123
6,156.187,2.14239,1.62728,1.36689,0.74023,0.70388,0.74203,0.39141,1.6712,1.24116,1.25131,0.00113031,0.00113031,0.00113031
7,181.939,2.2452,1.80586,1.45412,0.71671,0.73687,0.76089,0.38613,1.72971,1.25588,1.28006,0.0013089,0.0013089,0.0013089
8,217.17,2.12596,1.55615,1.37196,0.75894,0.66943,0.72406,0.35701,1.69887,1.27036,1.26323,0.00148388,0.00148388,0.00148388
9,238.395,2.11319,1.58831,1.356,0.79268,0.62804,0.74577,0.34988,1.77795,1.32449,1.26269,0.00154698,0.00154698,0.00154698
10,253.974,2.14834,1.59651,1.39297,0.83176,0.65879,0.75166,0.36373,1.78572,1.36203,1.25413,0.00153197,0.00153197,0.00153197
11,275.305,2.14526,1.58888,1.37426,0.73677,0.65303,0.75033,0.38192,1.67035,1.33368,1.21989,0.00151697,0.00151697,0.00151697
12,301.986,2.12859,1.64623,1.38084,0.73779,0.67879,0.77407,0.3744,1.66441,1.3232,1.20922,0.00150197,0.00150197,0.00150197
13,318.595,2.13869,1.58221,1.37652,0.70055,0.73561,0.74939,0.36122,1.70767,1.32458,1.23588,0.00148696,0.00148696,0.00148696
