epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0048,2.54955,3.8975,1.72383,0.00069,0.01136,0.00058,0.00017,2.12116,3.79892,1.49055,0.00018337,0.00018337,0.00018337
2,28.8041,2.24721,3.10292,1.47033,0.01648,0.24318,0.11914,0.06017,1.86518,3.50464,1.32341,0.000383333,0.000383333,0.000383333
3,42.9788,2.19699,2.40505,1.38089,0.03196,0.4697,0.26923,0.12154,1.9494,3.12866,1.37854,0.000582979,0.000582979,0.000582979
4,56.4692,2.13805,1.9838,1.37691,0.03016,0.43182,0.23142,0.10148,1.99205,3.13994,1.43484,0.000782067,0.000782067,0.000782067
5,69.5777,2.07166,1.86021,1.31792,0.59791,0.10158,0.16216,0.07191,2.09606,3.21891,1.55399,0.000980357,0.000980357,0.000980357
6,102.73,2.00322,1.71535,1.31647,0.85922,0.19621,0.33476,0.15368,2.10758,2.76951,1.51613,0.00117761,0.00117761,0.00117761
7,152.262,2.08145,1.74463,1.34373,0.72035,0.34035,0.41619,0.19173,2.10232,2.4207,1.50526,0.00137358,0.00137358,0.00137358
8,202.63,2.03103,1.69464,1.33752,0.7861,0.33106,0.42379,0.23168,1.97313,2.41901,1.45199,0.00156804,0.00156804,0.00156804
9,254.29,1.97783,1.61008,1.30853,0.53073,0.44044,0.4909,0.24327,1.81666,2.0334,1.32716,0.00164556,0.00164556,0.00164556
10,274.768,1.91482,1.67615,1.30752,0.63298,0.44318,0.48321,0.22794,1.84134,2.12591,1.35886,0.00163989,0.00163989,0.00163989
11,288.724,1.94574,1.67679,1.35149,0.7409,0.58416,0.66795,0.31744,1.81359,1.64728,1.34953,0.00163358,0.00163358,0.00163358
12,316.244,1.87545,1.52602,1.31715,0.67195,0.55964,0.64766,0.30985,1.82263,1.58429,1.35655,0.00162661,0.00162661,0.00162661
13,331.106,1.8553,1.45836,1.24451,0.87289,0.56,0.71963,0.37626,1.6904,1.42607,1.25915,0.00161901,0.00161901,0.00161901
14,350.004,1.82273,1.45059,1.23896,0.805,0.62281,0.73397,0.38872,1.68248,1.42073,1.25099,0.00161078,0.00161078,0.00161078
15,370.489,1.89259,1.41694,1.22362,0.79617,0.65682,0.75388,0.36587,1.73854,1.4546,1.23045,0.00160191,0.00160191,0.00160191
16,397.141,1.83155,1.39676,1.25799,0.80326,0.63485,0.76427,0.38404,1.69273,1.37206,1.22006,0.00159243,0.00159243,0.00159243
